ID,Show,Week End,Grosses
1,Ain't Too Proud,04/07/2019,1337083
2,All My Sons,04/07/2019,248769
4,Beetlejuice,04/07/2019,765711
5,Burn This,04/07/2019,813664
6,Gary A Sequel To Titus Andronicus,04/07/2019,381334
7,Hadestown,04/07/2019,615074
8,Hillary and Clinton,04/07/2019,391945
9,Ink,04/07/2019,258936
10,King Kong,04/07/2019,688782
11,King Lear,04/07/2019,473262
12,Kiss Me Kate,04/07/2019,656862
13,Network,04/07/2019,1011176
14,Oklahoma,04/07/2019,451274
15,The Cher Show,04/07/2019,866212
16,The Ferryman,04/07/2019,507233
17,The Prom,04/07/2019,532455
18,To Kill A Mockingbird,04/07/2019,1628150
19,Tootsie,04/07/2019,796802
20,What The Constitution Means To Me,04/07/2019,410927
1,Ain't Too Proud,04/14/2019,1342738
2,All My Sons,04/14/2019,424814
3,Be More Chill,04/14/2019,554910
4,Beetlejuice,04/14/2019,686456
5,Burn This,04/14/2019,762998
6,Gary A Sequel To Titus Andronicus,04/14/2019,388549
7,Hadestown,04/14/2019,688422
8,Hillary and Clinton,04/14/2019,375438
9,Ink,04/14/2019,321953
10,King Kong,04/14/2019,853394
11,King Lear,04/14/2019,640045
12,Kiss Me Kate,04/14/2019,743685
13,Network,04/14/2019,1006511
14,Oklahoma,04/14/2019,599132
15,The Cher Show,04/14/2019,879787
16,The Ferryman,04/14/2019,529019
17,The Prom,04/14/2019,601260
18,To Kill A Mockingbird,04/14/2019,1505427
19,Tootsie,04/14/2019,821781
20,What The Constitution Means To Me,04/14/2019,457256
1,Ain't Too Proud,04/21/2019,1396582
2,All My Sons,04/21/2019,482132
3,Be More Chill,04/21/2019,727661
4,Beetlejuice,04/21/2019,797929
5,Burn This,04/21/2019,768766
6,Gary: A Sequel To Titus Andronicus,04/21/2019,300613
7,Hadestown,04/21/2019,776253
8,Hillary and Clinton,04/21/2019,340825
9,Ink,04/21/2019,316263
10,King Kong,04/21/2019,986113
11,King Lear,04/21/2019,608717
12,Kiss Me Kate,04/21/2019,779009
13,Network,04/21/2019,1020896
14,Oklahoma,04/21/2019,604973
15,The Cher Show,04/21/2019,790986
16,The Ferryman,04/21/2019,517931
17,The Prom,04/21/2019,659804
18,To Kill A Mockingbird,04/21/2019,1720828
19,Tootsie,04/21/2019,907612
20,What The Constitution Means To Me,04/21/2019,462612
1,Ain't Too Proud,04/28/2019,1445892
2,All My Sons,04/28/2019,477448
3,Be More Chill,04/28/2019,630822
4,Beetlejuice,04/28/2019,834395
5,Burn This,04/28/2019,932391
6,Gary: A Sequel To Titus Andronicus,04/28/2019,354408
7,Hadestown,04/28/2019,959450
8,Hillary and Clinton,04/28/2019,493353
9,Ink,04/28/2019,327495
10,King Kong,04/28/2019,807055
11,King Lear,04/28/2019,582678
12,Kiss Me Kate,04/28/2019,795891
13,Network,04/28/2019,1052594
14,Oklahoma,04/28/2019,651744
15,The Cher Show,04/28/2019,997823
16,The Ferryman,04/28/2019,595398
17,The Prom,04/28/2019,615458
18,To Kill A Mockingbird,04/28/2019,1756185
19,Tootsie,04/28/2019,959001
20,What The Constitution Means To Me,04/28/2019,478075
1,Ain't Too Proud,05/05/2019,1445734
2,All My Sons,05/05/2019,469296
3,Be More Chill,05/05/2019,411116
4,Beetlejuice,05/05/2019,818904
5,Burn This,05/05/2019,856397
6,Gary: A Sequel To Titus Andronicus,05/05/2019,314335
7,Hadestown,05/05/2019,1055456
8,Hillary and Clinton,05/05/2019,429388
9,Ink,05/05/2019,428623
10,King Kong,05/05/2019,620397
11,King Lear,05/05/2019,493146
12,Kiss Me Kate,05/05/2019,766861
13,Network,05/05/2019,0
14,Oklahoma,05/05/2019,625193
15,The Cher Show,05/05/2019,921366
16,The Ferryman,05/05/2019,560319
17,The Prom,05/05/2019,527886
18,To Kill A Mockingbird,05/05/2019,1767464
19,Tootsie,05/05/2019,1256769
20,What The Constitution Means To Me,05/05/2019,495660
1,Ain't Too Proud,05/12/2019,1494459
2,All My Sons,05/12/2019,528645
3,Be More Chill,05/12/2019,407296
4,Beetlejuice,05/12/2019,856787
5,Burn This,05/12/2019,853967
6,Gary: A Sequel To Titus Andronicus,05/12/2019,307771
7,Hadestown,05/12/2019,1097115
8,Hillary and Clinton,05/12/2019,395739
9,Ink,05/12/2019,408551
10,King Kong,05/12/2019,619540
11,King Lear,05/12/2019,460485
12,Kiss Me Kate,05/12/2019,819804
13,Network,05/12/2019,950745
14,Oklahoma,05/12/2019,615366
15,The Cher Show,05/12/2019,983477
16,The Ferryman,05/12/2019,563017
17,The Prom,05/12/2019,583781
18,To Kill A Mockingbird,05/12/2019,1632527
19,Tootsie,05/12/2019,1409488
20,What The Constitution Means To Me,05/12/2019,504173
1,Ain't Too Proud,05/19/2019,1463394
2,All My Sons,05/19/2019,493421
3,Be More Chill,05/19/2019,431935
4,Beetlejuice,05/19/2019,838049
5,Burn This,05/19/2019,676047
6,Gary: A Sequel To Titus Andronicus,05/19/2019,264914
7,Hadestown,05/19/2019,1127838
8,Hillary and Clinton,05/19/2019,332785
9,Ink,05/19/2019,426755
10,King Kong,05/19/2019,599964
11,King Lear,05/19/2019,427075
12,Kiss Me Kate,05/19/2019,772487
13,Network,05/19/2019,1015836
14,Oklahoma,05/19/2019,631293
15,The Cher Show,05/19/2019,1006889
16,The Ferryman,05/19/2019,566640
17,The Prom,05/19/2019,627990
18,To Kill A Mockingbird,05/19/2019,1610208
19,Tootsie,05/19/2019,1311986
20,What The Constitution Means To Me,05/19/2019,489363
1,Ain't Too Proud,05/26/2019,1576625
2,All My Sons,05/26/2019,503225
3,Be More Chill,05/26/2019,448182
4,Beetlejuice,05/26/2019,833073
5,Burn This,05/26/2019,770468
6,Gary: A Sequel To Titus Andronicus,05/26/2019,263248
7,Hadestown,05/26/2019,1197934
8,Hillary and Clinton,05/26/2019,330102
9,Ink,05/26/2019,422913
10,King Kong,05/26/2019,700004
11,King Lear,05/26/2019,358474
12,Kiss Me Kate,05/26/2019,791721
13,Network,05/26/2019,1008529
14,Oklahoma,05/26/2019,604896
15,The Cher Show,05/26/2019,916761
16,The Ferryman,05/26/2019,579679
17,The Prom,05/26/2019,640384
18,To Kill A Mockingbird,05/26/2019,1647412
19,Tootsie,05/26/2019,1223722
20,What The Constitution Means To Me,05/26/2019,524797
1,Ain't Too Proud,06/02/2019,1513346
2,All My Sons,06/02/2019,475818
3,Be More Chill,06/02/2019,396876
4,Beetlejuice,06/02/2019,749093
5,Burn This,06/02/2019,683046
6,Gary: A Sequel To Titus Andronicus,06/02/2019,206060
7,Hadestown,06/02/2019,1181102
8,Hillary and Clinton,06/02/2019,290537
9,Ink,06/02/2019,385970
10,King Kong,06/02/2019,682452
11,King Lear,06/02/2019,285108
12,Kiss Me Kate,06/02/2019,740119
13,Network,06/02/2019,1037755
14,Oklahoma,06/02/2019,526781
15,The Cher Show,06/02/2019,788291
16,The Ferryman,06/02/2019,542335
17,The Prom,06/02/2019,602277
18,To Kill A Mockingbird,06/02/2019,1593907
19,Tootsie,06/02/2019,1086945
20,What The Constitution Means To Me,06/02/2019,484311
