Show,Performing,Before,After,updown,Percentage,,,,,,,,,,,,,,,,,,,
Ain't Too Proud,1,"9,776,937","12,129,647",Increase,24.06,,"1,604,639","1,590,238","1,565,260","1,494,677","1,306,280","1,559,925","1,526,427","1,482,201",,Ain't Too Proud,"1,445,892","1,396,582","1,342,738","1,337,083","1,330,046","1,102,218","949,781","872,597"
All My Sons,0,"1,633,163","1,599,838",Decrease,-2.04,,"534,074","560,874","504,890",0,0,0,0,0,,All My Sons,"477,448","482,132","424,814","248,769",0,0,0,0
Be More Chill,0,"5,204,790","3,830,247",Decrease,-26.4,,"416,560","459,379","497,570","443,212","444,803","462,585","561,393","544,745",,Be More Chill,"630,822","727,661","554,910","597,580","713,254","719,143","770,748","490,672"
Beetlejuice,1,"3,416,499","7,986,112",Increase,133.75,,"923,837","981,335","976,547","967,707","993,855","1,036,333","1,048,493","1,058,005",,Beetlejuice,"834,395","797,929","686,456","765,711","332,008",0,0,0
Burn This,0,"5,321,805","3,576,398",Decrease,-32.8,,"649,112","686,423","683,542","659,700","897,621",0,0,0,,Burn This,"932,391","768,766","762,998","813,664","913,342","850,975","279,669",0
Gary A Sequel To Titus Andronicus,0,"2,663,397","273,013",Decrease,-89.75,,"273,013",0,0,0,0,0,0,0,,Gary A Sequel To Titus Andronicus,"354,408","300,613","388,549","381,334","433,909","392,644","411,940",0
Hadestown,1,"4,009,501","10,382,328",Increase,158.94,,"1,282,519","1,298,013","1,308,316","1,397,270","1,115,439","1,312,048","1,344,593","1,324,130",,Hadestown,"959,450","776,253","688,422","615,074","734,908","235,394",0,0
Hillary and Clinton,0,"2,628,157","542,668",Decrease,-79.35,,"239,797","302,871",0,0,0,0,0,0,,Hillary and Clinton,"493,353","340,825","375,438","391,945","434,350","404,881","187,365",0
Ink,0,"1,224,647","1,581,535",Increase,29.14,,"411,475","397,578","373,581","398,901",0,0,0,0,,Ink,"327,495","316,263","321,953","258,936",0,0,0,0
King Kong,0,"6,333,835","5,877,673",Decrease,-7.2,,"787,655","782,914","692,976","666,543","626,115","766,092","775,856","779,522",,King Kong,"807,055","986,113","853,394","688,782","788,044","802,074","741,399","666,974"
King Lear,0,"4,467,328",0,Decrease,-100,,0,0,0,0,0,0,0,0,,King Lear,"582,678","608,717","640,045","473,262","507,529","541,763","558,714","554,620"
Kiss Me Kate,1,"5,769,297","2,298,658",Decrease,-60.16,,"692,219","778,215","828,224",0,0,0,0,0,,Kiss Me Kate,"795,891","779,009","743,685","656,862","751,826","726,011","681,659","634,354"
Network,0,"8,285,633",0,Decrease,-100,,0,0,0,0,0,0,0,0,,Network,"1,052,594","1,020,896","1,006,511","1,011,176","1,045,591","1,027,709","1,060,740","1,060,416"
Oklahoma,1,"3,331,783","4,531,547",Increase,36.01,,"638,014","614,474","586,725","520,921","502,961","584,811","559,929","523,712",,Oklahoma,"651,744","604,973","599,132","451,274","537,287","487,373",0,0
The Cher Show,1,"6,977,672","6,273,480",Decrease,-10.09,,"801,329","858,578","881,196","650,102","699,570","783,030","799,338","800,337",,The Cher Show,"997,823","790,986","879,787","866,212","872,977","882,909","805,744","881,234"
The Ferryman,0,"4,403,032","3,499,561",Decrease,-20.52,,"770,194","863,927","915,823","949,617",0,0,0,0,,The Ferryman,"595,398","517,931","529,019","507,233","571,281","564,472","570,339","547,359"
The Prom,1,"4,574,038","5,667,845",Increase,23.91,,"638,365","700,279","770,552","654,288","621,643","737,373","735,823","809,522",,The Prom,"615,458","659,804","601,260","532,455","580,102","573,649","533,392","477,918"
To Kill A Mockingbird,0,"12,965,297","15,401,759",Increase,18.79,,"1,950,347","2,018,314","1,945,641","1,900,573","1,700,382","1,969,932","2,000,537","1,916,033",,To Kill A Mockingbird,"1,756,185","1,720,828","1,505,427","1,628,150","1,718,215","1,507,685","1,511,717","1,617,090"
Tootsie,1,"3,839,942","7,791,808",Increase,102.91,,"1,155,185","1,159,155","1,098,563","851,034","835,623","947,726","887,370","857,152",,Tootsie,"959,001","907,612","821,781","796,802","354,746",0,0,0
What The Constitution Means To Me,0,"3,173,648","3,861,920",Increase,21.69,,"517,450","536,781","524,910","242,211","454,059","537,001","540,911","508,597",,What The Constitution Means To Me,"478,075","462,612","457,256","410,927","276,611","387,553","243,358",0
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Yes =1,Before,After,Increase or Decrease,Percentage,,Difference,/ Original No.,x100,Equal,Rounded,,,,,,,,
,,,,,,No =0,"9,776,937","12,129,647",Increase,,,"2,352,710",,,24.0638760400,24.06,,,,,,,,
,,,,,,,"1,633,163","1,599,838",Decrease,,,"33,325",,,2.0405189190,2.04,,,,,,,,
,,,,,,,"5,204,790","3,830,247",Decrease,,,"1,374,543",,,26.4091923000,26.4,,,,,,,,
,,,,,,,"3,416,499","7,986,112",Increase,,,"4,569,613",,,133.7513343000,133.75,,,,,,,,
,,,,,,,"5,321,805","3,576,398",Decrease,,,"1,745,407",,,32.7972746100,32.8,,,,,,,,
,,,,,,,"2,663,397","273,013",Decrease,,,"2,390,384",,,89.7494440400,89.75,,,,,,,,
,,,,,,,"4,009,501","10,382,328",Increase,,,"6,372,827",,,158.9431453000,158.94,,,,,,,,
,,,,,,,"2,628,157","542,668",Decrease,,,"2,085,489",,,79.3517662800,79.35,,,,,,,,
,,,,,,,"1,224,647","1,581,535",Increase,,,"356,888",,,29.1421119700,29.14,,,,,,,,
,,,,,,,"6,333,835","5,877,673",Decrease,,,"456,162",,,7.2019874220,7.2,,,,,,,,
,,,,,,,"4,467,328",0,Decrease,,,"4,467,328",,,100.0000000000,100,,,,,,,,
,,,,,,,"5,769,297","2,298,658",Decrease,,,"3,470,639",,,60.1570520600,60.16,,,,,,,,
,,,,,,,"8,285,633",0,Decrease,,,"8,285,633",,,100.0000000000,100,,,,,,,,
,,,,,,,"3,331,783","4,531,547",Increase,,,"1,199,764",,,36.0096681000,36.01,,,,,,,,
,,,,,,,"6,977,672","6,273,480",Decrease,,,"704,192",,,10.0920765600,10.09,,,,,,,,
,,,,,,,"4,403,032","3,499,561",Decrease,,,"903,471",,,20.5192921600,20.52,,,,,,,,
,,,,,,,"4,574,038","5,667,845",Increase,,,"1,093,807",,,23.9133780700,23.91,,,,,,,,
,,,,,,,"12,965,297","15,401,759",Increase,,,"2,436,462",,,18.7921803900,18.79,,,,,,,,
,,,,,,,"3,839,942","7,791,808",Increase,,,"3,951,866",,,102.9147315000,102.91,,,,,,,,
,,,,,,,"3,173,648","3,861,920",Increase,,,"688,272",,,21.6870932100,21.69,,,,,,,,
